id,slice,x,y,throughput(Kbps),allocatedCell
1,4,23,93,5637.0,9
2,3,25,92,55251.0,7
3,3,68,31,84881.0,3
4,4,45,53,5219.0,9
5,2,39,69,199.0,10
6,1,93,99,195.0,10
7,2,88,96,269.0,10
8,2,68,27,240.0,10
9,1,98,44,165.0,10
10,4,59,15,6841.0,9
11,2,97,41,229.0,10
12,3,44,25,44161.0,8
13,4,53,40,5550.0,9
14,2,52,29,134.0,10
15,1,95,28,182.0,10
16,1,33,64,125.0,10
17,4,78,14,3612.0,9
18,2,30,59,217.0,10
19,2,25,47,282.0,10
20,2,33,49,202.0,10
21,3,90,91,62443.0,2
22,2,87,89,97.0,10
23,3,26,74,10078.0,5
24,1,22,0,200.0,10
25,2,56,90,150.0,10
26,3,29,10,27143.0,5
27,3,30,88,61945.0,6
28,3,61,67,58649.0,7
29,4,25,9,3368.0,1
30,3,35,17,75495.0,3
31,3,67,12,66409.0,1
32,2,25,49,120.0,10
33,2,40,45,53.0,10
34,4,94,92,6089.0,9
35,1,15,29,92.0,10
36,2,26,81,74.0,10
37,2,30,62,114.0,10
38,2,11,16,83.0,10
39,1,76,13,156.0,10
40,2,69,89,191.0,10
41,1,15,35,88.0,10
42,2,7,13,137.0,10
43,2,82,24,266.0,10
44,2,60,40,169.0,10
45,4,81,56,7737.0,1
46,2,51,75,259.0,10
47,4,76,89,1995.0,9
48,2,20,39,233.0,10
49,2,96,22,212.0,10
50,4,87,1,1876.0,9
51,3,86,0,30721.0,5
52,4,84,4,2654.0,9
53,4,70,63,5382.0,1
54,1,55,42,86.0,10
55,3,70,32,88807.0,1
56,2,28,77,85.0,10
57,4,8,17,2333.0,4
58,1,43,39,117.0,10
59,4,20,46,7720.0,4
60,4,55,62,5924.0,4
61,3,20,4,17436.0,5
62,1,46,54,166.0,10
63,2,64,90,78.0,10
64,1,84,55,199.0,10
65,1,34,29,100.0,10
66,3,69,72,19518.0,8
67,2,72,74,85.0,10
68,4,13,76,6682.0,4
69,3,55,71,22390.0,5
70,2,0,65,93.0,10
71,2,48,68,238.0,10
72,4,73,22,7696.0,4
73,2,70,97,179.0,10
74,3,75,45,60471.0,8
75,1,51,50,182.0,10
76,3,40,64,69929.0,6
77,2,30,99,213.0,10
78,2,53,59,188.0,10
79,3,86,87,26912.0,2
80,4,82,69,1340.0,4
81,3,48,83,28959.0,7
82,3,52,66,19142.0,3
83,3,36,88,71996.0,1
84,2,97,11,288.0,10
85,2,59,77,173.0,10
86,3,31,82,69460.0,4
87,4,94,36,2405.0,4
