id,slice,x,y,throughput(Kbps),allocatedCell
1,4,23,93,5637,0
2,3,25,92,55251,0
3,3,68,31,84881,0
4,4,45,53,5219,0
5,2,39,69,199,0
6,1,93,99,195,0
7,2,88,96,269,0
8,2,68,27,240,0
9,1,98,44,165,0
10,4,59,15,6841,0
11,2,97,41,229,0
12,3,44,25,44161,0
13,4,53,40,5550,0
14,2,52,29,134,0
15,1,95,28,182,0
16,1,33,64,125,0
17,4,78,14,3612,0
18,2,30,59,217,0
19,2,25,47,282,0
20,2,33,49,202,0
21,3,90,91,62443,0
22,2,87,89,97,0
23,3,26,74,10078,0
24,1,22,0,200,0
25,2,56,90,150,0
26,3,29,10,27143,0
27,3,30,88,61945,0
28,3,61,67,58649,0
29,4,25,9,3368,0
30,3,35,17,75495,0
31,3,67,12,66409,0
32,2,25,49,120,0
33,2,40,45,53,0
34,4,94,92,6089,0
35,1,15,29,92,0
36,2,26,81,74,0
37,2,30,62,114,0
38,2,11,16,83,0
39,1,76,13,156,0
40,2,69,89,191,0
41,1,15,35,88,0
42,2,7,13,137,0
43,2,82,24,266,0
44,2,60,40,169,0
45,4,81,56,7737,0
46,2,51,75,259,0
47,4,76,89,1995,0
48,2,20,39,233,0
49,2,96,22,212,0
50,4,87,1,1876,0
